id,nameWithOwner,mergedPullRequests,closedPullRequests,totalPullRequests
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,nvbn/thefuck,478,109,587
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,ryanmcdermott/clean-code-javascript,148,94,242
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust-lang/rust,42836,13435,56271
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,7353,1652,9005
MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel/laravel,1449,2882,4331
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,Genymobile/scrcpy,61,234,295
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,FortAwesome/Font-Awesome,193,433,626
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,gothinkster/realworld,229,104,333
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,74,39,113
MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django/django,7675,8258,15933
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,tonsky/FiraCode,123,45,168
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,vuejs/awesome-vue,3347,338,3685
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin/bitcoin,12207,5495,17702
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love/papers-we-love,406,79,485
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,17615,4574,22189
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv/opencv,10765,2466,13231
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,typicode/json-server,100,143,243
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,41,5319,5360
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin-gonic/gin,858,415,1273
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,mtdvio/every-programmer-should-know,86,39,125
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,gohugoio/hugo,1784,2227,4011
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,sveltejs/svelte,2417,582,2999
MDEwOlJlcG9zaXRvcnkxODYxNDU4,hakimel/reveal.js,365,531,896
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,thedaviddias/Front-End-Checklist,172,115,287
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack/webpack,4180,1545,5725
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,51310,7704,59014
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm-sh/nvm,654,260,914
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindlabs/tailwindcss,1516,396,1912
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata/netdata,5771,724,6495
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,apple/swift,39295,5037,44332
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,pallets/flask,1404,857,2261
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,fatedier/frp,392,198,590
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,ripienaar/free-for-dev,1961,504,2465
MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular/angular.js,789,7133,7922
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch/pytorch,5181,51393,56574
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,reduxjs/redux,1551,788,2339
MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume/resume.github.com,84,84,168
MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom/atom,3932,1305,5237
MDEwOlJlcG9zaXRvcnkyMzcxNTk=,expressjs/express,257,807,1064
