file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\DrdsShowMetadataLock.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.DrdsShowMetadataLock,class,4,4,0,4,3,2,0,3,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLCheck.java,com.alibaba.druid.sql.ast.statement.SQLCheck,class,8,9,1,8,18,3,0,12,9,0.55,0.0,0.0,10,0,9,0,1,0,10,0,0,0,2,0,0,2,0,0,0,0,0,62,7,0,7,0,0,0,0,5,0,3,2,0,0,0,29,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\visitor\ParameterizedOutputVisitorUtils.java,com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils,class,27,28,1,27,85,2,0,47,188,0.92499995,0.0,0.0,20,20,19,1,0,0,19,0,0,0,4,4,0,4,0,0,4,0,18,310,35,9,30,0,1,3,17,58,1,55,5,0,1,0,98,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\repository\SchemaObject.java,com.alibaba.druid.sql.repository.SchemaObject,class,8,14,6,8,20,1,0,5,18,0.7051282,0.0,0.0,13,0,11,0,2,0,13,0,0,0,6,0,0,6,0,0,4,0,0,78,17,0,5,0,3,0,1,12,0,10,1,0,1,0,43,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\MySqlShowProfileStatement.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowProfileStatement,class,6,10,4,6,6,3,0,2,11,0.72222227,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,29,3,0,0,0,0,0,0,3,0,3,0,0,1,0,45,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\sqlserver\visitor\SQLServerEvalVisitor.java,com.alibaba.druid.sql.dialect.sqlserver.visitor.SQLServerEvalVisitor,class,15,15,0,15,23,3,0,4,237,0.8913044,0.0,0.0,23,0,23,0,0,0,23,0,0,0,4,0,0,4,0,0,0,0,0,75,17,0,0,0,0,0,2,7,0,4,0,0,0,0,48,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\druid-admin\src\main\java\com\alibaba\druid\admin\model\dto\WallResult.java,com.alibaba.druid.admin.model.dto.WallResult$ContentBean$TablesBean,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,8,9,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\oracle\visitor\OracleASTVisitor.java,com.alibaba.druid.sql.dialect.oracle.visitor.OracleASTVisitor,interface,107,215,108,107,192,1,0,2,18336,0.0,0.0,0.0,192,0,0,0,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,490,96,0,0,0,0,0,0,0,0,0,0,0,0,0,112,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLAlterTableAddSupplemental.java,com.alibaba.druid.sql.ast.statement.SQLAlterTableAddSupplemental,class,4,4,0,4,6,2,0,4,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,20,1,0,1,0,0,0,0,1,0,1,1,0,0,0,23,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLMergeStatement.java,com.alibaba.druid.sql.ast.statement.SQLMergeStatement,class,12,13,1,12,18,4,0,6,70,0.8359375,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,1,0,0,147,8,0,1,0,0,0,0,7,0,8,1,0,2,0,38,1,0
