JavaScript,227
nan,114
Python,112
TypeScript,102
Go,74
Java,69
C++,54
C,29
HTML,23
Shell,22
Rust,20
Ruby,18
Swift,17
PHP,13
Jupyter Notebook,13
C#,12
CSS,12
Kotlin,12
Vue,8
Vim Script,5
Objective-C,4
Dart,3
Markdown,3
SCSS,3
TeX,3
Lua,3
Haskell,3
Clojure,2
Makefile,2
Elixir,2
Nunjucks,1
Dockerfile,1
Assembly,1
Julia,1
Scala,1
Zig,1
V,1
Roff,1
Jinja,1
Batchfile,1
Emacs Lisp,1
OCaml,1
Standard ML,1
AsciiDoc,1
Objective-C++,1
CoffeeScript,1
